Participant,Participation Grades,Minutes on Camera,Minutes with Camera Paused,Fraction of Class Time on Camera,Fraction of Instructor Time on Camera,Minutes on Microphone,Fraction of Class Time on Microphone,Fraction of Instructor Time on Microphone,Chat Messages Sent,Fraction of Messages Sent
Hannah Abbott,15.83079683,71.74618333,0,0.994347969,0.999282939,0.026266667,0.000364036,0.000692199,9,0.02393617
Katie Bell,105,73.09805,0,1.013083821,1.018111777,1.353283333,0.018755486,0.035662757,5,0.013297872
Lavender Brown,105,69.52945,0,0.963625717,0.968408212,1.302583333,0.018052822,0.034326672,43,0.114361702
Cho Chang,84.97148168,71.58498333,0,0.992113858,0.99703774,0.337866667,0.004682577,0.008903721,11,0.029255319
Cedric Diggory,14.58939576,71.49973333,0.063216667,0.990932358,0.995850376,0,0,0,68,0.180851064
Dudley Dursley,105,71.72006667,0,0.993986011,0.998919185,0.4701,0.006515231,0.012388434,25,0.066489362
Hermione Granger,49.4722928,71.86193333,0,0.995952176,1.000895108,0.175383333,0.002430681,0.004621836,17,0.045212766
Angela Johsnon,29.51877461,71.77361667,0,0.994728174,0.999665031,0.087733333,0.001215918,0.002312016,10,0.026595745
Neville Longbottom,94.7921232,71.83031667,0,0.995513993,1.00045475,0.3692,0.005116833,0.009729441,48,0.127659574
Luna Lovegood,69.45240354,17.23661667,0.544816667,0.238886502,0.240072101,0.273533333,0.003790966,0.007208359,20,0.053191489
Draco Malfoy,0,50.81715,0,0.704287358,0.707782751,0,0,0,0,0
Parvati Patil,91.4460068,71.3979,0.026516667,0.989521024,0.994432038,0.357666667,0.00495699,0.009425505,38,0.10106383
Pansy Parkinson,77.04486586,70.28596667,0,0.974110467,0.978944998,0.304033333,0.004213673,0.008012119,6,0.015957447
Harry Potter,34.40997064,71.90226667,0,0.996511166,1.001456872,0.1084,0.001502342,0.00285664,14,0.037234043
George Weasley,94.7031453,71.90955,0,0.996612107,1.001558314,0.381766667,0.005290998,0.010060607,11,0.029255319
Ron Weasley,105,71.11891667,0,0.985654526,0.99054635,0.465433333,0.006450555,0.012265455,16,0.042553191
Oliver Wood,97.84445993,71.49411667,0,0.990854515,0.995772147,0.393566667,0.005454537,0.01037157,18,0.04787234
 ~ ~Instructor~ ~ Severus Snape,0,71.79766667,0,0.995061489,1,37.94668333,0.5259124,1,17,0.045212766
